method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
q2,n10_two_clusters_1,two_clusters,10,10,2418.574670500936,241.8574670500936,7932.873352504681,130,2,0.4170190000004368,4,0.21543349999410566,0,
q2,n10_two_clusters_2,two_clusters,10,10,2427.3040777690267,242.73040777690267,8071.520388845134,127,1,0.4458913999987999,4,0.2416603000019677,0,
q2,n10_two_clusters_3,two_clusters,10,10,2643.6653992395786,264.3665399239579,9233.326996197891,125,0,0.48838640000030864,5,0.30723479999869596,0,
q2,n10_narrow_sector_0,narrow_sector,10,10,2941.530428312761,294.15304283127614,11027.652141563809,114,2,0.692239600000903,8,0.4700781000137795,0,
q2,n10_narrow_sector_1,narrow_sector,10,10,2492.513090966319,249.2513090966319,8682.565454831594,118,0,0.2813621000095736,1,0.053108899999642745,0,
q2,n10_narrow_sector_2,narrow_sector,10,10,2718.740446695356,271.8740446695356,10088.70223347678,108,2,0.649046599995927,7,0.4504237999935867,0,
q2,n10_narrow_sector_3,narrow_sector,10,10,2443.6294960056985,244.36294960056983,8308.147480028494,122,1,0.3173691999982111,2,0.11339589998533484,0,
q2,n10_coverage_seams_0,coverage_seams,10,10,3442.426879973988,344.2426879973988,12682.134399869945,141,6,0.5252383000042755,6,0.38115519999701064,0,
q2,n10_coverage_seams_1,coverage_seams,10,10,3517.924314443475,351.79243144434747,12919.62157221737,144,10,0.7043233000003966,10,0.5670802999957232,0,
q2,n10_coverage_seams_2,coverage_seams,10,10,3370.889413905517,337.08894139055167,12274.447069527589,142,7,0.5653082999924663,7,0.4278167000011308,0,
q2,n10_coverage_seams_3,coverage_seams,10,10,3463.417804913675,346.3417804913675,12882.089024568377,137,8,0.6289699000044493,8,0.48159519996261224,0,
q2,n11_uniform_disk_0,uniform_disk,11,11,2974.5071171932796,270.40973792666176,10662.5355859664,131,2,0.5325118000037037,6,0.3582540000206791,0,
q2,n11_uniform_disk_1,uniform_disk,11,11,3105.6623758805617,282.3329432618693,11313.311879402809,130,4,0.6483005000045523,8,0.44571519998135045,0,
q2,n11_uniform_disk_2,uniform_disk,11,11,2823.9613935086645,256.72376304624225,9644.806967543322,140,1,0.5340180000057444,6,0.3711609000165481,0,
q2,n11_uniform_disk_3,uniform_disk,11,11,3302.3693878449685,300.2153988949971,12411.84693922484,127,2,0.7050300999981118,8,0.4827402999944752,0,
q2,n11_outer_ring_0,outer_ring,11,11,4113.801682658252,373.98197115075016,15779.008413291258,151,0,0.20145870000123978,1,0.04957859999558423,0,
q2,n11_outer_ring_1,outer_ring,11,11,3262.650746273453,296.60461329758664,11848.25373136727,138,6,0.5595126999978675,7,0.3929696000122931,0,
q2,n11_outer_ring_2,outer_ring,11,11,3646.9904171566773,331.54458337787975,13834.952085783385,137,2,0.3395225999993272,3,0.16290939999453258,0,
q2,n11_outer_ring_3,outer_ring,11,11,3257.5915285653828,296.1446844150348,11802.957642826914,140,3,0.46963429999595974,5,0.28675630000361707,0,
q2,n11_two_clusters_0,two_clusters,11,11,2422.5414460601246,220.23104055092043,8102.707230300625,125,0,0.37830370001029223,3,0.18541550000372808,0,
q2,n11_two_clusters_1,two_clusters,11,11,2366.8485767616394,215.1680524328763,7729.242883808195,127,2,0.4209911999932956,3,0.18123170001490507,0,
q2,n11_two_clusters_2,two_clusters,11,11,2699.680462188553,245.42549656259573,9458.402310942764,126,1,0.5408212000038475,5,0.33618150000984315,0,
q2,n11_two_clusters_3,two_clusters,11,11,2478.048953788167,225.2771776171061,8430.244768940836,123,1,0.3961274000030244,3,0.17923660000087693,0,
q2,n11_narrow_sector_0,narrow_sector,11,11,2358.332588565589,214.39387168778083,7986.662942827946,118,0,0.28241320000961423,1,0.06315349999931641,0,
q2,n11_narrow_sector_1,narrow_sector,11,11,2411.5099888227137,219.22818080206488,8642.549944113569,105,0,0.36766699999861885,2,0.11824280000291765,0,
q2,n11_narrow_sector_2,narrow_sector,11,11,2545.1531719679488,231.37756108799533,8780.765859839741,122,2,0.3520647999976063,2,0.11020159999316093,0,
q2,n11_narrow_sector_3,narrow_sector,11,11,2550.39561262624,231.85414660238547,8586.978063131199,130,0,0.34500310001021717,2,0.10351619998982642,0,
q2,n11_coverage_seams_0,coverage_seams,11,11,3586.8914816480737,326.0810437861885,13759.457408240367,128,7,0.5824679000070319,7,0.42238939997332636,0,
q2,n11_coverage_seams_1,coverage_seams,11,11,3245.1643005709097,295.01493641553725,11430.821502854547,147,11,0.7771177000104217,11,0.6206496999802766,0,
q2,n11_coverage_seams_2,coverage_seams,11,11,3344.4070709038488,304.0370064458044,12202.035354519247,139,8,0.6315886000083992,8,0.4732842000084929,0,
q2,n11_coverage_seams_3,coverage_seams,11,11,3372.886593671099,306.6260539700999,12109.432968355492,147,8,0.6286920999991708,8,0.48396710002270993,0,
q2,n12_uniform_disk_0,uniform_disk,12,12,3159.081348110567,263.2567790092139,11540.406740552835,131,3,0.7616529999941122,9,0.5556108999735443,0,
q2,n12_uniform_disk_1,uniform_disk,12,12,2972.7242781184787,247.7270231765399,10493.62139059239,136,1,0.6267038999940269,7,0.4210408000071766,0,
q2,n12_uniform_disk_2,uniform_disk,12,12,3112.6971353394288,259.3914279449524,11408.485676697144,128,3,0.6690626999916276,8,0.4755863999889698,0,
q2,n12_uniform_disk_3,uniform_disk,12,12,3380.0944683912057,281.6745390326005,12590.472341956029,135,0,0.7349898999964353,9,0.537711799974204,0,
q2,n12_outer_ring_0,outer_ring,12,12,4001.0513721200314,333.4209476766693,15450.256860600153,142,1,0.3119865999906324,3,0.14574079999874812,0,
q2,n12_outer_ring_1,outer_ring,12,12,3314.686679707791,276.22388997564923,12343.433398538953,130,5,0.6436905000009574,8,0.44366140001511667,0,
q2,n12_outer_ring_2,outer_ring,12,12,3470.272444436897,289.1893703697414,12946.362222184487,136,5,0.6435431000136305,9,0.45883270002377685,0,
q2,n12_outer_ring_3,outer_ring,12,12,3757.540000255301,313.1283333546084,13877.700001276507,154,1,0.3182340000057593,3,0.15702199998486321,0,
q2,n12_two_clusters_0,two_clusters,12,12,2527.198192970192,210.59984941418267,8655.99096485096,123,0,0.22099889999662992,0,0.0,0,
q2,n12_two_clusters_1,two_clusters,12,12,2503.676031377303,208.6396692814419,8318.380156886515,129,3,0.4651249000016833,4,0.21751980000408366,0,
q2,n12_two_clusters_2,two_clusters,12,12,2395.6427405017034,199.63689504180863,8163.213702508516,117,1,0.46134429999801796,4,0.241036699997494,0,
q2,n12_two_clusters_3,two_clusters,12,12,2359.327728537691,196.6106440448076,7956.638642688456,118,1,0.41725600000063423,3,0.1772966999851633,0,
q2,n12_narrow_sector_0,narrow_sector,12,12,2622.5584996357547,218.5465416363129,9447.792498178775,113,0,0.363108799996553,2,0.11927320000540931,0,
q2,n12_narrow_sector_1,narrow_sector,12,12,2280.6813685366747,190.05678071138956,7993.406842683372,104,0,0.2476838000002317,0,0.0,0,
q2,n12_narrow_sector_2,narrow_sector,12,12,2506.575819176592,208.88131826471601,8817.879095882961,114,0,0.3506489999999758,2,0.11428860001615249,0,
q2,n12_narrow_sector_3,narrow_sector,12,12,2601.353767720476,216.77948064337298,8951.76883860238,126,0,0.40697820000059437,2,0.12626209999143612,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3226.470517075719,268.8725430896432,11877.352585378585,129,9,0.6833306000044104,9,0.5073453999939375,0,
q2,n12_coverage_seams_1,coverage_seams,12,12,3086.8093724397027,257.2341143699752,10459.046862198516,152,11,0.7516209000023082,11,0.5991823999938788,0,
q2,n12_coverage_seams_2,coverage_seams,12,12,3391.3261754639525,282.61051462199606,12211.630877319762,145,10,0.708340600001975,10,0.55570940002508,0,
q2,n12_coverage_seams_3,coverage_seams,12,12,3204.1239499579206,267.01032916316007,11290.619749789603,145,9,0.6541734000056749,9,0.5136352000117768,0,
q2,n13_uniform_disk_0,uniform_disk,13,13,3470.141753049255,266.93398100378886,13040.70876524627,133,1,0.6711061999958474,8,0.483003400004236,0,
q2,n13_uniform_disk_1,uniform_disk,13,13,3098.3416426180693,238.33397250908226,11461.708213090347,122,4,0.591525099996943,7,0.3956394000124419,0,
q2,n13_uniform_disk_2,uniform_disk,13,13,2886.0009283282398,222.0000714098646,10485.004641641199,120,3,0.5864736000075936,6,0.3580814000160899,0,
q2,n13_uniform_disk_3,uniform_disk,13,13,2774.9271650256583,213.45593577120448,9534.63582512829,133,3,0.6708368000108749,7,0.4245121000276413,0,
q2,n13_outer_ring_0,outer_ring,13,13,4004.3909754368237,308.0300750336018,15371.95487718412,144,2,0.36981289999675937,3,0.18310909999127034,0,
q2,n13_outer_ring_1,outer_ring,13,13,3339.299409088647,256.8691853145113,12016.49704544323,144,6,0.8284295000048587,11,0.6124151000403799,0,
q2,n13_outer_ring_2,outer_ring,13,13,3316.003255655057,255.07717351192744,11775.016278275283,149,2,0.3296501000004355,3,0.17033230001106858,0,
q2,n13_outer_ring_3,outer_ring,13,13,3897.3568195254957,299.7966784250381,15291.78409762748,129,2,0.4328364999964833,5,0.25450330002058763,0,
q2,n13_two_clusters_0,two_clusters,13,13,2540.7968129109076,195.44590868545444,8853.984064554537,118,0,0.3025045000104001,1,0.05700069999147672,0,
q2,n13_two_clusters_1,two_clusters,13,13,2345.031657834589,180.3870506026607,7895.158289172947,116,2,0.47204609999607783,4,0.22229749998950865,0,
q2,n13_two_clusters_2,two_clusters,13,13,2545.918249110043,195.83986531615713,8699.591245550217,123,2,0.5435052999964682,5,0.30153330000757705,0,
q2,n13_two_clusters_3,two_clusters,13,13,2635.6508306909423,202.74237159161095,9198.254153454713,122,1,0.41544409999914933,3,0.17029009999532718,0,
q2,n13_narrow_sector_0,narrow_sector,13,13,2410.7188199249554,185.43990922499657,8683.594099624781,102,0,0.30760309999459423,1,0.057018599996808916,0,
q2,n13_narrow_sector_1,narrow_sector,13,13,2488.4238578254462,191.41721983272663,9047.119289127233,102,2,0.5107385999872349,4,0.23996390000684187,0,
q2,n13_narrow_sector_2,narrow_sector,13,13,2606.839114872015,200.52608575938578,8989.195574360074,124,1,0.5110034999961499,4,0.24213689999305643,0,
q2,n13_narrow_sector_3,narrow_sector,13,13,2639.5057606239106,203.03890466337774,9122.528803119552,125,1,0.428217599997879,3,0.15103109998744912,0,
q2,n13_coverage_seams_0,coverage_seams,13,13,3552.9066100363148,273.3005084643319,13134.533050181573,140,11,0.7613866000028793,11,0.5962527999799931,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3390.1220068867083,260.77861591436215,12365.610034433541,138,12,0.8796299000096042,12,0.6964498999877833,0,
q2,n13_coverage_seams_2,coverage_seams,13,13,3306.027185522879,254.3097835017599,12350.135927614396,125,11,0.8514696000056574,11,0.6603195999778109,0,
q2,n13_coverage_seams_3,coverage_seams,13,13,3280.70108621758,252.3616220167369,11423.505431087897,151,13,0.9430384999868693,13,0.7657047000247985,0,
