x,y,J,p_near,p_direction,p_no_signal,normalization_error,level,spacing_m,effective_angle_fallbacks,direction_mass_correction
0.0,900.0,277.66010255214627,0.0,0.4206058686977954,0.5793941313022045,0.0,1,300.0,1,-0.00033855958479095394
1500.0,-900.0,280.8913706841538,0.0,0.6663763899991868,0.33362361000081314,0.0,1,300.0,0,0.0004928187417297947
1500.0,900.0,307.80395356354006,0.0,0.6387994647663939,0.36120053523360607,0.0,1,300.0,2,0.0007494258781663987
750.0,0.0,403.48365363428314,0.0015621766478048009,0.9984378233521951,0.0,1.1102230246251565e-16,2,150.0,0,0.00018569916873933945
900.0,0.0,409.35236350104105,0.001562176647804786,0.9984378233521952,0.0,0.0,1,300.0,0,0.00019004869336558539
600.0,0.0,477.0095581183599,0.0015621766478048156,0.9984378233521953,0.0,2.220446049250313e-16,0,600,0,-0.0015621766478047805
1050.0,0.0,511.9881650392207,0.0015621766478047636,0.9984378233521952,0.0,0.0,2,150.0,0,0.00017991264209038516
1800.0,0.0,564.4630810761944,0.0,0.7498372233826712,0.25016277661732883,0.0,0,600,0,-0.0001560055239111513
-600.0,0.0,589.8831513590349,0.0,0.25003078915669985,0.7499692108433001,0.0,0,600,0,2.401806328211631e-05
900.0,-1200.0,656.8177807337277,0.0,0.46990056553406007,0.5300994344659401,2.220446049250313e-16,1,300.0,1,0.0005562729022684509
-600.0,-600.0,667.4660567482622,0.0,0.136729633724387,0.863270366275613,0.0,0,600,0,0.0015093651315144785
-600.0,600.0,678.8195198325608,0.0,0.13132653288457952,0.8686734671154204,1.1102230246251565e-16,0,600,0,-0.0015224801035839952
1050.0,-1200.0,681.3407336068451,0.0,0.44964977466863854,0.5503502253313615,0.0,2,150.0,1,-0.0016857010272489648
1500.0,0.0,713.4801435114327,0.0,0.9374735133404075,0.06252648665959233,1.1102230246251565e-16,1,300.0,0,-2.479032396718317e-05
1200.0,0.0,723.6690898446908,0.0007776008491484583,0.9992223991508514,0.0,1.1102230246251565e-16,0,600,0,9.472188745296428e-05
750.0,-1200.0,780.5973774481962,0.0,0.36111392325659775,0.6388860767434024,0.0,2,150.0,0,-0.0005439318961579231
300.0,0.0,803.4253512299891,0.001562176647804843,0.9984378233521952,0.0,0.0,1,300.0,0,-0.0015621766478048915
1200.0,-1200.0,864.3829843050478,0.0,0.2894967897416497,0.7105032102583503,0.0,0,600,0,-0.0011675337429957189
600.0,-1200.0,894.8346333782572,0.0,0.26113444863532576,0.7388655513646742,0.0,0,600,0,0.0001633961150773744
300.0,-1200.0,1083.1799618642365,0.0,0.09704155544020324,0.9029584445597968,0.0,1,300.0,0,0.002474723475293192
0.0,-1200.0,1193.220502400936,0.0,0.001544603974570939,0.9984553960254291,0.0,0,600,0,-0.0012056449635210933
-1800.0,0.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-1200.0,-1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-1200.0,-600.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-1200.0,0.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-1200.0,600.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-1200.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-600.0,-1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
-600.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
0.0,-1800.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
0.0,0.0,1195.0034391678253,0.0,1.0,0.0,0.0,0,600,0,0
0.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
0.0,1800.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
600.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
1200.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,0,600,0,0.0
300.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,1,300.0,0,0.0
900.0,1200.0,1195.0034391678253,0.0,0.0,1.0,0.0,1,300.0,0,0.0
