method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b5,n10_two_clusters_0,two_clusters,10,10,2628.685702603382,262.86857026033823,9123.42851301691,126,0,19,6,0.8723419000016293,2,0,5,0,
b5,n10_narrow_sector_1,narrow_sector,10,10,2686.4560056287723,268.64560056287723,9412.280028143861,126,0,19,1,1.1522917999973288,3,0,13,0,
b5,n10_coverage_seams_2,coverage_seams,10,10,3314.074202988503,331.4074202988503,12090.371014942513,142,0,26,9,1.4159955000068294,5,0,5,0,
b5,n11_uniform_disk_3,uniform_disk,11,11,3319.0227592714623,301.7293417519511,12615.113796357315,124,0,25,7,1.7421749000059208,6,0,10,0,
b5,n11_outer_ring_0,outer_ring,11,11,3589.516580811092,326.3196891646447,13467.582904055458,141,0,26,5,1.273322699998971,6,0,2,0,
b5,n11_two_clusters_1,two_clusters,11,11,2326.8306255866028,211.53005687150934,7654.153127933014,124,0,22,3,2.4920381999982055,6,0,8,0,
b5,n11_narrow_sector_2,narrow_sector,11,11,2602.158634325693,236.5598758477903,9505.793171628467,108,0,23,4,2.422932800007402,6,0,14,0,
b5,n11_coverage_seams_3,coverage_seams,11,11,3091.169978921587,281.01545262923514,11100.849894607936,137,0,28,6,1.4196651999955066,8,0,3,0,
b5,n12_uniform_disk_0,uniform_disk,12,12,3593.688031535483,299.4740026279569,13743.440157677418,131,1,25,5,1.411123600002611,4,0,7,0,
b5,n12_outer_ring_1,outer_ring,12,12,4717.303030251678,393.1085858543065,19091.515151258383,140,1,27,9,2.0308324999932665,6,0,14,0,
b5,n12_two_clusters_2,two_clusters,12,12,2808.359876099192,234.0299896749327,10256.799380495964,117,0,22,2,1.950461299988092,5,0,9,0,
b5,n12_narrow_sector_3,narrow_sector,12,12,2719.0923008179543,226.59102506816285,10040.46150408977,109,0,24,0,3.45734850000008,5,0,13,0,
b5,n12_coverage_seams_0,coverage_seams,12,12,3741.5327978133696,311.7943998177808,14357.663989066847,136,0,30,8,1.6140263999986928,6,0,5,0,
b5,n13_uniform_disk_1,uniform_disk,13,13,3350.0274277669923,257.69441752053785,12845.137138834965,120,0,30,7,1.7949002000095788,6,0,6,0,
b5,n13_outer_ring_2,outer_ring,13,13,3761.0409108172666,289.3108392936359,14320.204554086333,140,0,34,6,1.8020949000056135,8,0,4,0,
b5,n13_two_clusters_3,two_clusters,13,13,3063.3723763152793,235.6440289473292,11526.861881576398,116,0,26,2,2.3216112999944016,5,0,11,0,
b5,n13_narrow_sector_0,narrow_sector,13,13,2780.51518837234,213.88578372094923,10657.5759418617,98,0,24,2,2.695595500001218,4,0,13,0,
b5,n13_coverage_seams_1,coverage_seams,13,13,3668.685236216076,282.20655663200586,13948.426181080382,137,0,33,9,1.920224200002849,9,0,4,0,
b5,n14_uniform_disk_2,uniform_disk,14,14,3849.751407996992,274.9822434283566,15548.757039984966,112,1,28,7,2.443382500001462,6,0,15,0,
b5,n14_outer_ring_3,outer_ring,14,14,3955.7037109769103,282.5502650697793,15233.518554884551,141,0,33,5,1.602182599992375,6,0,3,0,
b5,n14_two_clusters_0,two_clusters,14,14,2996.889073549336,214.063505253524,11259.445367746683,113,0,24,2,1.8763047000102233,4,0,8,0,
