x,y,area_m2,posterior_mass,R_conditional_min_m,R_conditional_max_m
113.27877097312302,-0.34954665468181667,9.58726579250111,0.00034693699510429985,1000,1500
113.27926398163504,-0.10241007810768159,9.587265792505011,0.000346936995104441,1000,1500
150.33942422685402,-5.080485521138396,9.587265792505029,0.00034693699510444166,1000,1500
147.15402759331096,-4.6510987065810125,9.58726579250111,0.00034693699510429985,1000,1500
147.1526771286958,-4.329309121379467,9.587265792505029,0.00034693699510444166,1000,1500
147.15124534034425,-4.007498930202139,9.587265792501123,0.0003469369951043003,1000,1500
147.1505776989555,-3.685669664751365,9.587265792505018,0.0003469369951044413,1000,1500
147.15212837315846,-3.3638228568202484,9.587265792505022,0.0003469369951044414,1000,1500
147.15844866483855,-3.041960038285566,9.587265792501121,0.00034693699510430023,1000,1500
147.1741544747116,-2.720082741100082,9.58726579250504,0.00034693699510444204,1000,1500
147.20796453214086,-2.398192497285515,9.587265792505018,0.0003469369951044413,1000,1500
147.27734037352394,-2.076290838925381,9.587265792501112,0.0003469369951042999,1000,1500
155.674851094659,-1.949282005027741,9.587265792505017,0.00034693699510444123,1000,1500
155.00245063160912,-1.609662644877151,9.587265792505029,0.00034693699510444166,1000,1500
147.56166236093077,-1.1105326981760888,9.587265792501116,0.00034693699510430007,1000,1500
147.56373399492702,-0.7886007034444289,9.587265792505015,0.0003469369951044411,1000,1500
147.56510327789084,-0.46666495525315355,9.587265792501112,0.0003469369951042999,1000,1500
147.56577020330496,-0.14472698590220565,9.58726579250502,0.00034693699510444134,1000,1500
174.68779668566373,-5.903300656798413,9.587265792504994,0.00034693699510444036,1000,1500
174.69828334954468,-5.521690252166264,9.587265792501116,0.00034693699510430007,1000,1500
174.70977970202088,-5.140053566247068,9.587265792505008,0.0003469369951044409,1000,1500
174.72328301357325,-4.758392415496104,9.587265792501116,0.00034693699510430007,1000,1500
174.74034840808724,-4.37670861648505,9.587265792505013,0.00034693699510444107,1000,1500
174.76346538032675,-3.9950039858933444,9.587265792504997,0.0003469369951044405,1000,1500
174.79675038689416,-3.6132803404997924,9.587265792501098,0.0003469369951042994,1000,1500
174.84728900408044,-3.2315394971734515,9.58726579250501,0.00034693699510444096,1000,1500
